ID_Livraison,Date_Livraison,ID_Entreprise,ID_Route,ID_Vehicule,ID_Client,Distance_km,Duree_heures,Carburant_litres,Poids_Tonnes,NbColis,Cout_Carburant_FCFA,Cout_Peage_FCFA,Cout_Chauffeur_FCFA,Cout_Maintenance_FCFA,Cout_Assurance_FCFA,Cout_Total_FCFA,Prix_Facture_FCFA,Marge_FCFA,Taux_Marge_Pourcent,Statut_Livraison,Satisfaction_Client
L01908,2020-10-05,E006,R005,V001,C0425,185,2.64,68.87,10.13,185,44766,5761,8685,3060,5001,67273,250352,183079,73.13,Livrée,5
L01909,2020-10-05,E003,R009,V002,C0056,120,2.29,32.75,9.99,10,21288,3917,7430,2506,7305,42446,168067,125621,74.74,Livrée,5
L01910,2020-10-05,E002,R009,V002,C0368,120,2.5,35.66,9.03,113,23179,2879,8537,3575,8682,46852,123536,76684,62.07,Livrée,5
L01911,2020-10-05,E004,R006,V004,C0310,195,3.56,39.75,3.0,184,25838,4523,11120,3521,11721,56723,85743,29020,33.85,Livrée,5
L01912,2020-10-06,E003,R011,V003,C0336,275,5.97,127.12,18.27,105,82628,6496,20130,5037,11063,125354,533477,408123,76.5,Livrée,5
L01913,2020-10-06,E004,R001,V006,C0105,420,7.14,154.19,15.93,9,100224,13056,18051,8862,11343,151536,915583,764047,83.45,En retard,1
L01914,2020-10-06,E005,R010,V003,C0018,340,7.55,150.98,15.37,82,98137,8219,22511,8648,6971,144486,652599,508113,77.86,Livrée,5
L01915,2020-10-06,E003,R007,V003,C0205,620,16.35,253.57,16.31,55,164820,21384,44309,10238,5385,246136,1406202,1160066,82.5,Livrée,4
L01916,2020-10-06,E001,R014,V003,C0043,165,3.13,69.91,23.04,129,45442,3970,8998,4005,7751,70166,526992,456826,86.69,Livrée,5
L01917,2020-10-06,E004,R006,V004,C0089,195,4.5,33.61,2.24,26,21846,5645,11716,3363,7893,50463,60133,9670,16.08,Livrée,5
L01918,2020-10-06,E005,R009,V001,C0074,120,2.26,45.72,14.25,31,29718,2433,6373,2662,11251,52437,183325,130888,71.4,Livrée,5
L01919,2020-10-07,E001,R007,V004,C0157,620,16.33,102.33,1.91,171,66514,12684,32709,15659,8191,135757,111540,-24217,-21.71,Livrée,5
L01920,2020-10-07,E001,R014,V006,C0266,165,3.64,64.72,12.77,67,42068,5092,7520,3769,9028,67477,294220,226743,77.07,Livrée,5
L01921,2020-10-07,E001,R012,V001,C0134,35,0.67,13.06,17.88,195,8489,0,1539,650,9108,19786,60971,41185,67.55,Livrée,5
L01922,2020-10-07,E001,R011,V006,C0464,275,5.63,107.95,15.29,100,70168,7678,15572,6792,5885,106095,577776,471681,81.64,Livrée,5
L01923,2020-10-07,E003,R012,V005,C0089,35,1.51,4.36,0.96,22,2834,0,5125,887,11485,20331,4575,-15756,-344.39,Livrée,5
L01924,2020-10-07,E006,R013,V005,C0236,420,7.37,56.89,1.05,165,36978,9512,21556,6614,5986,80646,57912,-22734,-39.26,Livrée,5
L01925,2020-10-07,E003,R004,V008,C0132,275,5.57,51.68,2.82,100,33592,5652,13349,5133,7940,65666,111988,46322,41.36,Livrée,4
L01926,2020-10-08,E003,R007,V007,C0229,620,16.21,179.33,8.47,8,116565,18993,50760,11213,11022,208553,656619,448066,68.24,Livrée,5
L01927,2020-10-08,E005,R002,V007,C0034,340,6.62,100.63,6.98,69,65410,8841,22919,9306,10333,116809,252935,136126,53.82,Livrée,5
L01928,2020-10-08,E005,R006,V001,C0083,195,4.29,67.53,13.78,158,43894,5543,8638,3865,10381,72321,346440,274119,79.12,Livrée,5
L01929,2020-10-08,E006,R015,V004,C0417,45,0.64,8.4,1.95,101,5460,0,2183,1134,8196,16973,9729,-7244,-74.46,Livrée,5
L01930,2020-10-08,E005,R006,V006,C0132,195,3.88,64.75,15.59,12,42088,4036,10316,3940,8887,69267,348801,279534,80.14,Livrée,5
L01931,2020-10-08,E002,R002,V006,C0428,340,7.08,125.06,16.28,58,81289,8788,15329,5744,6254,117404,810180,692776,85.51,Livrée,5
L01932,2020-10-08,E006,R014,V007,C0354,165,3.33,43.63,6.28,116,28360,4707,11361,2572,7037,54037,91324,37287,40.83,Livrée,4
L01933,2020-10-09,E005,R004,V007,C0204,275,5.25,86.84,10.59,47,56446,5748,11678,5280,10573,89725,252506,162781,64.47,Livrée,5
L01934,2020-10-09,E006,R008,V002,C0287,235,3.65,68.39,9.52,39,44454,7775,7681,3820,6915,70645,306822,236177,76.98,Livrée,5
L01935,2020-10-09,E003,R008,V006,C0336,235,3.59,97.04,13.4,86,63076,6427,9614,7034,11047,97198,273061,175863,64.4,Livrée,4
L01936,2020-10-09,E003,R013,V004,C0450,420,6.97,82.28,2.99,34,53482,13205,16323,10166,6785,99961,159265,59304,37.24,Livrée,5
L01937,2020-10-09,E006,R008,V002,C0497,235,3.6,69.99,8.66,65,45494,5546,10608,4987,9849,76484,183581,107097,58.34,Livrée,5
L01938,2020-10-09,E002,R008,V004,C0442,235,4.53,39.77,2.21,134,25851,7042,10278,4307,8719,56197,76295,20098,26.34,Livrée,5
L01939,2020-10-09,E002,R001,V003,C0316,420,7.88,166.54,19.97,110,108251,10711,17221,10345,9684,156212,1109135,952923,85.92,Livrée,4
L01940,2020-10-10,E006,R002,V006,C0258,340,6.63,113.88,16.4,123,74022,11600,21519,9001,5733,121875,731759,609884,83.34,Livrée,5
L01941,2020-10-10,E005,R012,V003,C0292,35,0.84,16.0,19.27,60,10400,0,2226,554,5780,18960,60464,41504,68.64,Livrée,5
L01942,2020-10-10,E004,R015,V005,C0454,45,0.29,5.06,1.26,115,3289,0,964,683,10417,15353,5363,-9990,-186.28,Livrée,5
L01943,2020-10-10,E002,R004,V005,C0125,275,5.26,33.24,1.19,187,21606,6304,13487,6174,7519,55090,34155,-20935,-61.29,Livrée,4
L01944,2020-10-10,E001,R012,V001,C0444,35,0.88,12.34,11.08,95,8021,0,2834,993,9134,20982,44716,23734,53.08,Livrée,5
L01945,2020-10-10,E003,R009,V006,C0151,120,2.21,43.7,12.93,77,28405,2777,7415,3394,10317,52308,201945,149637,74.1,Livrée,5
L01946,2020-10-10,E006,R003,V007,C0359,165,2.44,50.46,9.7,22,32799,5532,5194,3314,8563,55402,225825,170423,75.47,Livrée,4
L01947,2020-10-11,E001,R014,V002,C0247,165,2.29,43.35,8.84,20,28178,5281,7535,4906,5810,51710,132658,80948,61.02,Livrée,5
L01948,2020-10-11,E006,R006,V003,C0175,195,4.74,76.3,16.41,181,49595,5741,13929,3506,11989,84760,468408,383648,81.9,Livrée,4
L01949,2020-10-11,E003,R007,V004,C0372,620,15.38,103.81,2.19,8,67476,17700,39066,17029,10215,151486,131180,-20306,-15.48,Livrée,5
L01950,2020-10-11,E003,R008,V006,C0492,235,4.4,90.35,17.65,26,58727,5297,12736,5665,8346,90771,449881,359110,79.82,Livrée,5
L01951,2020-10-11,E002,R013,V001,C0357,420,7.14,156.86,14.87,113,101959,12593,14525,9171,7335,145583,784174,638591,81.43,Livrée,5
L01952,2020-10-11,E002,R007,V004,C0302,620,15.37,110.77,3.14,94,72000,14650,46482,14907,6515,154554,173058,18504,10.69,Livrée,5
L01953,2020-10-12,E001,R003,V003,C0080,165,2.76,77.12,22.47,62,50128,4524,9309,2727,9680,76368,331819,255451,76.99,Livrée,4
L01954,2020-10-12,E006,R006,V006,C0107,195,4.35,74.48,12.2,165,48412,5864,8959,4229,5543,73007,299609,226602,75.63,Annulée,1
L01955,2020-10-12,E003,R005,V007,C0300,185,3.18,59.14,11.29,93,38441,4299,7093,3962,7686,61481,292967,231486,79.01,Livrée,5
L01956,2020-10-12,E001,R015,V003,C0403,45,1.32,18.32,16.39,68,11908,0,2828,1265,7047,23048,69345,46297,66.76,Livrée,5
L01957,2020-10-12,E004,R013,V006,C0305,420,7.11,170.72,14.55,190,110968,10540,14544,7424,10050,153526,785939,632413,80.47,Livrée,5
L01958,2020-10-12,E001,R012,V006,C0344,35,0.86,13.44,15.72,134,8736,0,1934,841,11055,22566,74416,51850,69.68,Livrée,5
L01959,2020-10-12,E005,R010,V003,C0058,340,6.36,133.7,19.76,113,86905,11457,14839,8477,9841,131519,766093,634574,82.83,Livrée,4
L01960,2020-10-13,E001,R004,V003,C0091,275,5.01,105.49,21.22,176,68568,7532,12504,5809,11985,106398,617397,510999,82.77,Livrée,4
L01961,2020-10-13,E005,R001,V004,C0135,420,7.71,78.43,2.56,197,50980,14044,26607,9267,6559,107457,108063,606,0.56,Livrée,5
L01962,2020-10-13,E005,R014,V001,C0350,165,2.57,60.47,11.21,11,39306,4078,8433,4244,10784,66845,258094,191249,74.1,Livrée,5
L01963,2020-10-13,E005,R013,V003,C0169,420,6.64,181.54,22.67,35,118001,9346,18924,10882,8745,165898,1090931,925033,84.79,Livrée,4
L01964,2020-10-13,E004,R007,V005,C0334,620,16.4,74.4,1.34,27,48360,15243,39671,17295,9777,130346,94148,-36198,-38.45,Livrée,4
L01965,2020-10-13,E001,R008,V008,C0122,235,3.99,45.98,2.83,82,29887,7918,8264,5216,8210,59495,86844,27349,31.49,Livrée,5
L01966,2020-10-13,E001,R002,V001,C0500,340,7.47,136.51,17.88,150,88732,10775,24423,9891,10612,144433,767843,623410,81.19,Livrée,4
L01967,2020-10-14,E004,R007,V005,C0236,620,16.02,81.12,1.29,74,52728,14409,53971,13459,6127,140694,74292,-66402,-89.38,Livrée,5
L01968,2020-10-14,E003,R006,V004,C0399,195,3.54,36.79,2.31,132,23914,6434,9462,4756,10668,55234,47086,-8148,-17.3,Livrée,5
L01969,2020-10-14,E002,R005,V003,C0076,185,4.05,71.41,15.95,53,46416,5102,9839,4442,7998,73797,273756,199959,73.04,Livrée,5
L01970,2020-10-14,E001,R013,V001,C0309,420,7.66,150.13,11.08,142,97584,8855,17221,11925,9220,144805,640467,495662,77.39,Livrée,5
L01971,2020-10-14,E002,R004,V007,C0477,275,5.44,73.37,7.98,94,47690,7148,17012,6017,7837,85704,224445,138741,61.82,Livrée,5
L01972,2020-10-14,E006,R002,V003,C0023,340,7.51,134.7,14.8,137,87555,10031,20088,9045,10783,137502,469453,331951,70.71,Livrée,4
L01973,2020-10-14,E006,R010,V006,C0333,340,6.55,117.14,14.13,85,76141,7465,17721,9790,6848,117965,497334,379369,76.28,Livrée,5
L01974,2020-10-15,E004,R006,V003,C0073,195,3.94,91.13,21.54,122,59234,4056,8384,5823,10234,87731,459472,371741,80.91,Livrée,5
L01975,2020-10-15,E006,R005,V007,C0088,185,3.72,55.54,6.31,150,36101,6355,10997,3196,8343,64992,134395,69403,51.64,Livrée,4
L01976,2020-10-15,E006,R002,V001,C0103,340,7.71,135.45,11.33,164,88042,7927,23846,9921,8996,138732,545449,406717,74.57,Livrée,5
L01977,2020-10-15,E003,R010,V003,C0094,340,6.59,150.81,16.58,55,98026,9262,19791,5670,5951,138700,695370,556670,80.05,Livrée,5
L01978,2020-10-15,E003,R007,V003,C0449,620,16.15,246.54,15.49,87,160251,20954,51369,15129,11363,259066,825976,566910,68.64,Livrée,5
L01979,2020-10-15,E003,R006,V002,C0316,195,4.32,50.01,9.61,68,32506,3995,11361,3478,10312,61652,155922,94270,60.46,Livrée,5
L01980,2020-10-15,E006,R012,V002,C0266,35,1.57,9.62,10.95,95,6253,0,5029,980,5337,17599,56528,38929,68.87,Livrée,5
L01981,2020-10-16,E004,R015,V001,C0253,45,1.71,15.13,13.02,194,9834,0,5684,792,9723,26033,54450,28417,52.19,Livrée,5
L01982,2020-10-16,E005,R015,V001,C0358,45,1.72,15.37,16.49,22,9990,0,4464,987,6769,22210,95973,73763,76.86,Livrée,5
L01983,2020-10-16,E005,R011,V006,C0058,275,5.74,109.64,12.33,186,71266,7337,12530,4293,10445,105871,417741,311870,74.66,Livrée,5
L01984,2020-10-16,E002,R009,V006,C0431,120,2.19,48.66,16.04,186,31629,3224,4722,2875,9361,51811,213683,161872,75.75,Livrée,5
L01985,2020-10-16,E005,R011,V008,C0399,275,6.35,62.97,3.33,11,40930,9506,14888,6175,6816,78315,83555,5240,6.27,Livrée,5
L01986,2020-10-16,E005,R010,V003,C0009,340,6.72,136.74,21.52,37,88881,10620,16409,8703,7580,132193,666065,533872,80.15,Livrée,4
L01987,2020-10-16,E003,R005,V005,C0013,185,2.8,20.39,1.29,71,13254,6294,6093,3470,11506,40617,35038,-5579,-15.92,Livrée,5
L01988,2020-10-17,E003,R009,V001,C0407,120,2.55,43.44,13.42,58,28236,3431,8902,2075,9598,52242,207014,154772,74.76,Livrée,4
L01989,2020-10-17,E006,R009,V007,C0417,120,2.82,36.21,8.98,133,23536,2986,7880,2447,6941,43790,130756,86966,66.51,Livrée,5
L01990,2020-10-17,E002,R013,V003,C0393,420,7.06,188.2,21.95,173,122330,12182,14140,8267,6776,163695,920725,757030,82.22,Livrée,5
L01991,2020-10-17,E001,R001,V005,C0131,420,6.76,48.35,0.98,163,31428,9878,18386,8314,8919,76925,60322,-16603,-27.52,Livrée,5
L01992,2020-10-17,E002,R005,V002,C0222,185,2.94,47.94,10.14,30,31161,4657,8725,4215,6700,55458,180037,124579,69.2,Livrée,5
L01993,2020-10-17,E002,R009,V006,C0329,120,2.52,49.43,17.98,193,32130,3896,5645,2737,7956,52364,191806,139442,72.7,Livrée,5
L01994,2020-10-18,E004,R007,V007,C0372,620,15.48,177.71,11.37,168,115512,15067,50772,12368,10717,204436,734759,530323,72.18,Livrée,5
L01995,2020-10-18,E006,R006,V001,C0153,195,4.58,64.04,10.0,72,41626,5767,14475,5152,11745,78765,221050,142285,64.37,Livrée,5
L01996,2020-10-18,E004,R006,V003,C0381,195,3.66,90.36,18.23,159,58734,6556,7772,3378,6599,83039,302169,219130,72.52,Livrée,5
L01997,2020-10-18,E002,R011,V002,C0367,275,6.46,86.6,9.24,50,56290,9417,13949,6138,6157,91951,340352,248401,72.98,Livrée,5
L01998,2020-10-18,E002,R007,V008,C0472,620,16.24,127.11,3.92,187,82622,14910,47600,18201,9208,172541,282095,109554,38.84,Annulée,1
L01999,2020-10-18,E002,R001,V004,C0480,420,7.31,72.06,2.25,31,46839,11256,16490,7702,6476,88763,129138,40375,31.27,Livrée,5
L02000,2020-10-18,E005,R004,V002,C0071,275,5.02,71.32,6.76,26,46358,9197,16344,7594,7879,87372,227527,140155,61.6,Livrée,4
L02001,2020-10-19,E004,R013,V003,C0420,420,6.93,172.92,22.95,151,112398,9036,21910,8037,8367,159748,806704,646956,80.2,Livrée,4
L02002,2020-10-19,E002,R015,V008,C0345,45,1.08,9.72,4.5,71,6318,0,2414,1264,10413,20409,20108,-301,-1.5,Livrée,4
L02003,2020-10-19,E003,R001,V006,C0020,420,6.77,140.59,14.32,198,91384,9614,21373,11904,10676,144951,510140,365189,71.59,Livrée,5
L02004,2020-10-19,E006,R006,V005,C0081,195,4.08,21.81,0.85,31,14176,3998,10098,3436,8383,40091,23435,-16656,-71.07,Livrée,4
L02005,2020-10-19,E006,R014,V007,C0438,165,3.27,52.29,7.28,168,33988,5369,9772,3292,6095,58516,154627,96111,62.16,Livrée,5
L02006,2020-10-19,E003,R013,V007,C0228,420,6.9,131.81,11.22,180,85676,11628,18308,8276,9249,133137,387052,253915,65.6,Livrée,5
L02007,2020-10-19,E006,R004,V004,C0346,275,5.77,52.05,1.79,41,33832,6325,18304,6085,11944,76490,63143,-13347,-21.14,Livrée,5
L02008,2020-10-20,E005,R001,V007,C0019,420,7.96,122.27,9.88,125,79476,11027,26791,9692,7476,134462,420972,286510,68.06,Livrée,5
L02009,2020-10-20,E005,R009,V004,C0444,120,1.61,24.53,2.91,78,15944,2729,3688,2965,10070,35396,49284,13888,28.18,Livrée,5
L02010,2020-10-20,E001,R012,V008,C0165,35,1.3,6.73,2.95,187,4374,0,4277,808,11300,20759,13232,-7527,-56.88,Livrée,5
L02011,2020-10-20,E001,R004,V006,C0368,275,6.43,100.09,16.13,30,65058,7556,20398,5300,7040,105352,610393,505041,82.74,Livrée,5
L02012,2020-10-20,E001,R012,V004,C0387,35,0.43,6.91,2.14,152,4492,0,1379,779,7724,14374,9345,-5029,-53.81,Livrée,4
L02013,2020-10-20,E006,R006,V001,C0107,195,4.72,62.44,12.67,193,40586,6159,15478,5825,6663,74711,213912,139201,65.07,Livrée,5
L02014,2020-10-20,E005,R013,V003,C0377,420,7.41,173.35,15.5,41,112678,14233,17822,10393,8471,163597,956705,793108,82.9,Livrée,5
L02015,2020-10-21,E005,R007,V008,C0348,620,16.17,114.12,4.37,137,74178,19038,36345,16186,5989,151736,289939,138203,47.67,Livrée,5
L02016,2020-10-21,E005,R008,V007,C0214,235,4.77,63.35,6.81,135,41178,6364,11232,7037,9101,74912,239113,164201,68.67,Livrée,5
L02017,2020-10-21,E003,R012,V004,C0239,35,0.52,5.82,3.13,159,3783,0,1218,816,10276,16093,9726,-6367,-65.46,Livrée,5
L02018,2020-10-21,E005,R013,V002,C0147,420,7.2,122.68,8.95,74,79742,8451,15131,9613,6215,119152,539487,420335,77.91,Livrée,4
L02019,2020-10-21,E003,R011,V005,C0181,275,6.35,37.83,0.84,138,24590,8413,21849,6772,10664,72288,33536,-38752,-115.55,Livrée,5
L02020,2020-10-21,E001,R009,V003,C0430,120,2.29,54.27,21.2,57,35276,3786,6379,2191,11487,59119,348088,288969,83.02,Livrée,5
L02021,2020-10-21,E001,R009,V006,C0336,120,2.79,48.31,17.18,93,31402,3117,5617,2136,11365,53637,208816,155179,74.31,Livrée,4
L02022,2020-10-22,E006,R008,V007,C0440,235,3.9,70.05,9.53,164,45532,7277,9025,4420,7506,73760,264870,191110,72.15,Livrée,5
L02023,2020-10-22,E001,R010,V002,C0198,340,6.49,87.78,9.93,179,57057,9807,22289,9372,10421,108946,448017,339071,75.68,Livrée,5
L02024,2020-10-22,E006,R011,V001,C0485,275,5.15,97.72,13.48,186,63518,9315,14804,4886,9543,102066,338322,236256,69.83,Livrée,5
L02025,2020-10-22,E002,R015,V004,C0287,45,1.73,8.43,2.29,125,5480,0,5722,692,5860,17754,11483,-6271,-54.61,Livrée,5
L02026,2020-10-22,E002,R012,V002,C0053,35,0.93,10.1,7.43,139,6565,0,1986,1012,9146,18709,26591,7882,29.64,Livrée,5
L02027,2020-10-22,E004,R012,V003,C0369,35,1.4,16.88,19.14,38,10972,0,3138,537,6535,21182,91645,70463,76.89,Livrée,5
L02028,2020-10-22,E006,R015,V007,C0240,45,0.93,14.69,9.51,85,9548,0,1909,1167,9565,22189,34706,12517,36.07,Livrée,4
L02029,2020-10-23,E004,R014,V002,C0290,165,2.38,46.68,7.72,32,30342,3702,6941,4419,9667,55071,172726,117655,68.12,Livrée,5
L02030,2020-10-23,E004,R003,V001,C0287,165,3.11,55.54,15.4,111,36101,5382,6888,3551,6772,58694,343973,285279,82.94,Livrée,5
L02031,2020-10-23,E002,R012,V005,C0188,35,0.41,4.83,0.76,133,3140,0,1069,851,11335,16395,2665,-13730,-515.2,Livrée,5
L02032,2020-10-23,E006,R002,V008,C0395,340,7.53,67.54,3.46,183,43901,7142,16154,5858,11292,84347,161430,77083,47.75,Livrée,5
L02033,2020-10-23,E002,R005,V004,C0484,185,2.99,34.63,1.84,39,22510,4860,8263,2923,11801,50357,43392,-6965,-16.05,Livrée,5
L02034,2020-10-23,E004,R001,V003,C0006,420,6.73,161.49,17.83,125,104968,9983,16197,9441,8071,148660,720158,571498,79.36,Livrée,4
L02035,2020-10-23,E006,R003,V007,C0283,165,3.2,43.79,7.97,196,28464,5679,9727,2850,11784,58504,114711,56207,49.0,Livrée,5
L02036,2020-10-24,E004,R001,V008,C0263,420,6.53,75.99,4.47,86,49394,13389,14703,12088,7981,97555,219874,122319,55.63,Livrée,5
L02037,2020-10-24,E005,R013,V004,C0049,420,6.98,72.26,2.07,63,46969,8911,14564,8228,10155,88827,124639,35812,28.73,Livrée,4
L02038,2020-10-24,E006,R003,V004,C0352,165,3.62,27.2,2.59,144,17680,5664,7518,4766,8827,44455,60489,16034,26.51,Livrée,5
L02039,2020-10-24,E006,R013,V006,C0200,420,6.67,165.91,14.74,155,107842,9208,20607,9626,7701,154984,903113,748129,82.84,Livrée,4
L02040,2020-10-24,E004,R004,V004,C0060,275,6.44,54.62,2.93,188,35503,9136,19569,4286,9026,77520,96635,19115,19.78,Livrée,4
L02041,2020-10-24,E005,R007,V002,C0033,620,15.42,162.96,10.26,118,105924,19383,36247,11576,9508,182638,902965,720327,79.77,Livrée,5
L02042,2020-10-25,E003,R012,V002,C0303,35,1.04,10.85,10.39,58,7052,0,2921,530,9739,20242,30472,10230,33.57,Livrée,5
L02043,2020-10-25,E002,R015,V008,C0244,45,0.87,8.14,2.76,166,5291,0,2034,937,5782,14044,10296,-3748,-36.4,Livrée,4
L02044,2020-10-25,E004,R012,V005,C0172,35,0.28,3.99,1.31,31,2594,0,829,691,8335,12449,5657,-6792,-120.06,Livrée,5
L02045,2020-10-25,E006,R005,V001,C0207,185,2.67,67.25,12.6,13,43712,6364,6223,3693,5691,65683,249968,184285,73.72,Livrée,4
L02046,2020-10-25,E002,R005,V007,C0375,185,3.81,59.31,8.79,26,38552,4333,8119,4449,8648,64101,186311,122210,65.59,Livrée,5
L02047,2020-10-25,E002,R013,V008,C0283,420,6.59,93.59,4.71,15,60834,8483,22465,11736,10268,113786,247101,133315,53.95,Livrée,5
L02048,2020-10-25,E002,R001,V007,C0478,420,7.38,121.61,11.06,41,79046,11146,24862,9694,5653,130401,661869,531468,80.3,Livrée,4
L02049,2020-10-26,E003,R008,V008,C0022,235,4.43,51.04,4.15,127,33176,7167,11920,4492,6995,63750,117949,54199,45.95,Livrée,4
L02050,2020-10-26,E001,R013,V003,C0047,420,7.62,163.41,21.08,25,106216,10687,18257,9691,5430,150281,876490,726209,82.85,Livrée,5
L02051,2020-10-26,E004,R004,V002,C0349,275,5.99,87.1,9.14,65,56615,8048,18383,7393,6556,96995,244977,147982,60.41,Livrée,5
L02052,2020-10-26,E001,R010,V004,C0489,340,7.49,68.48,2.15,62,44512,8986,19170,8605,10463,91736,85774,-5962,-6.95,Livrée,4
L02053,2020-10-26,E001,R005,V001,C0432,185,3.34,60.08,15.75,138,39052,4161,11199,3406,5351,63169,355493,292324,82.23,Livrée,4
L02054,2020-10-26,E001,R002,V008,C0158,340,6.48,69.87,3.56,175,45416,9677,13179,7201,10480,85953,151465,65512,43.25,Livrée,4
L02055,2020-10-26,E002,R015,V003,C0258,45,1.28,20.55,14.64,166,13358,0,3895,1047,8966,27266,67099,39833,59.36,Livrée,5
L02056,2020-10-27,E005,R012,V007,C0143,35,1.13,11.61,8.64,44,7546,0,3619,850,8973,20988,31559,10571,33.5,Livrée,4
L02057,2020-10-27,E002,R013,V003,C0047,420,7.14,184.61,16.72,144,119997,14211,19832,7884,7667,169591,707355,537764,76.02,Livrée,4
L02058,2020-10-27,E002,R001,V003,C0027,420,7.0,164.73,17.09,185,107074,12423,17789,9664,9439,156389,775009,618620,79.82,Livrée,4
L02059,2020-10-27,E006,R009,V007,C0455,120,1.7,32.4,6.25,125,21060,4084,3933,2067,8746,39890,83779,43889,52.39,Livrée,5
L02060,2020-10-27,E006,R015,V003,C0027,45,1.61,18.29,14.32,18,11888,0,4760,1313,7806,25767,94992,69225,72.87,Livrée,4
L02061,2020-10-27,E001,R002,V005,C0469,340,7.35,40.21,1.14,25,26136,7427,24946,7597,7776,73882,39397,-34485,-87.53,Livrée,5
L02062,2020-10-27,E002,R006,V003,C0397,195,3.6,84.16,12.81,5,54704,5724,8210,3022,11709,83369,256374,173005,67.48,Livrée,5
L02063,2020-10-28,E001,R001,V001,C0439,420,7.84,149.98,14.99,69,97487,13272,26373,7493,8418,153043,829677,676634,81.55,Livrée,5
L02064,2020-10-28,E006,R001,V008,C0145,420,6.63,75.84,4.0,72,49296,10727,14076,11224,7340,92663,228002,135339,59.36,Livrée,4
L02065,2020-10-28,E005,R009,V002,C0075,120,2.23,30.95,9.46,157,20118,3069,5880,3528,8958,41553,135968,94415,69.44,Livrée,5
L02066,2020-10-28,E004,R004,V001,C0187,275,5.09,103.98,13.35,45,67587,9001,13326,6389,7151,103454,488981,385527,78.84,Livrée,5
L02067,2020-10-28,E001,R009,V004,C0010,120,1.56,22.8,2.11,170,14820,2765,4017,2543,8141,32286,27839,-4447,-15.97,Livrée,5
L02068,2020-10-28,E005,R011,V006,C0121,275,5.91,102.94,10.38,22,66911,8893,19024,5846,9451,110125,324254,214129,66.04,Livrée,5
L02069,2020-10-28,E004,R005,V005,C0289,185,3.59,20.86,1.11,182,13559,4958,9338,4948,5965,38768,29257,-9511,-32.51,Livrée,5
L02070,2020-10-29,E003,R007,V005,C0462,620,16.41,81.94,0.84,139,53261,20316,55770,18014,6680,154041,62197,-91844,-147.67,Livrée,5
L02071,2020-10-29,E001,R001,V004,C0165,420,6.59,68.93,2.79,132,44805,10632,15096,10827,11636,92996,94285,1289,1.37,Livrée,4
L02072,2020-10-29,E001,R006,V007,C0382,195,4.38,54.12,7.83,17,35178,6382,15096,3741,6450,66847,215500,148653,68.98,Livrée,5
L02073,2020-10-29,E003,R008,V001,C0264,235,4.56,87.77,10.19,95,57050,6030,13443,6473,10669,93665,258173,164508,63.72,Livrée,5
L02074,2020-10-29,E003,R014,V001,C0161,165,2.77,62.17,9.65,33,40410,4472,6606,4679,5791,61958,145619,83661,57.45,Livrée,5
L02075,2020-10-29,E001,R001,V004,C0391,420,7.17,71.9,2.1,20,46735,9233,19633,9863,7128,92592,72180,-20412,-28.28,Livrée,4
L02076,2020-10-29,E003,R009,V007,C0418,120,2.02,31.56,10.08,139,20514,3315,5664,2572,5775,37840,130191,92351,70.94,Livrée,5
L02077,2020-10-30,E002,R003,V006,C0327,165,3.38,62.36,12.28,130,40534,3512,8677,4711,8167,65601,190884,125283,65.63,Livrée,5
L02078,2020-10-30,E004,R001,V003,C0391,420,7.78,189.3,12.55,176,123045,10822,24520,11960,8344,178691,482723,304032,62.98,Livrée,5
L02079,2020-10-30,E004,R001,V007,C0297,420,7.07,133.96,10.4,82,87074,10852,14658,10307,9699,132590,375757,243167,64.71,Livrée,5
L02080,2020-10-30,E004,R013,V008,C0118,420,6.53,91.95,2.62,54,59768,10941,18202,10476,7807,107194,103002,-4192,-4.07,Livrée,4
L02081,2020-10-30,E002,R014,V003,C0484,165,2.93,63.47,22.74,79,41256,3587,9433,4815,5219,64310,356278,291968,81.95,Livrée,4
L02082,2020-10-30,E003,R011,V008,C0311,275,5.7,60.95,2.8,162,39618,6433,17202,4612,5628,73493,96938,23445,24.19,Livrée,5
L02083,2020-10-31,E005,R006,V002,C0263,195,4.55,53.04,9.53,55,34476,6595,15342,4542,9424,70379,196191,125812,64.13,Livrée,4
L02084,2020-10-31,E003,R011,V001,C0084,275,6.09,87.74,15.01,37,57031,7766,15314,7488,7407,95006,491668,396662,80.68,Livrée,5
L02085,2020-10-31,E001,R006,V001,C0146,195,4.33,72.32,16.58,112,47008,6776,13006,4433,11388,82611,374375,291764,77.93,Livrée,5
L02086,2020-10-31,E006,R001,V004,C0493,420,7.57,69.68,2.84,84,45292,12925,18145,7028,10948,94338,131446,37108,28.23,Livrée,5
L02087,2020-10-31,E004,R014,V004,C0171,165,2.77,27.83,3.17,150,18090,4344,9005,2759,5642,39840,43787,3947,9.01,Livrée,5
L02088,2020-10-31,E003,R014,V003,C0489,165,2.81,74.92,16.22,114,48698,4301,9699,4194,5326,72218,240683,168465,69.99,Livrée,5
L02089,2020-10-31,E005,R003,V007,C0334,165,3.04,50.63,10.54,188,32910,3530,9113,4002,11579,61134,256739,195605,76.19,Livrée,5
L02090,2020-11-01,E001,R007,V001,C0424,620,15.42,222.88,11.28,187,144872,13802,46370,9532,6649,221225,630425,409200,64.91,Livrée,5
